City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,guerrero negro,27.9769,-114.0611,296.64,30,0,5.67,MX,1699742806
1,iqaluit,63.7506,-68.5145,263.0,79,75,3.6,CA,1699742866
2,puerto natales,-51.7236,-72.4875,278.95,58,62,4.43,CL,1699742866
3,al bahah,20.0129,41.4677,285.83,40,0,3.41,SA,1699742866
4,bilibino,68.0546,166.4372,242.87,99,23,2.0,RU,1699742866
5,blackmans bay,-43.0167,147.3167,286.22,65,100,0.89,AU,1699742866
6,kingston,17.997,-76.7936,304.68,74,40,7.2,JM,1699742866
7,lihue,21.9789,-159.3672,300.92,68,40,7.72,US,1699742867
8,grytviken,-54.2811,-36.5092,275.63,94,64,0.22,GS,1699742478
9,mili,6.0815,171.735,301.4,81,100,7.63,MH,1699742867
10,ban phai,16.06,102.731,298.27,87,20,2.68,TH,1699742867
11,port-aux-francais,-49.35,70.2167,275.96,69,8,8.35,TF,1699742867
12,astrakhan,46.3497,48.0408,273.08,100,82,3.0,RU,1699742867
13,saint-pierre,-21.3393,55.4781,294.97,83,100,3.6,RE,1699742800
14,valparaiso,-33.0393,-71.6273,290.08,68,75,3.6,CL,1699742868
15,saipan,15.1355,145.701,302.54,79,40,8.75,MP,1699742868
16,ha tien,10.3833,104.4833,298.15,92,99,2.92,VN,1699742868
17,hasaki,35.7333,140.8333,283.37,82,100,8.0,JP,1699742868
18,edinburgh of the seven seas,-37.0676,-12.3116,287.42,82,51,7.68,SH,1699742868
19,susuman,62.7833,148.1667,239.57,99,81,0.12,RU,1699742868
20,hermanus,-34.4187,19.2345,289.4,76,72,3.93,ZA,1699742724
21,conduaga,8.862,117.4893,299.97,82,10,1.24,PH,1699742869
22,nordenham,53.5,8.4833,280.49,98,10,3.2,DE,1699742869
23,klyuchi,52.2667,79.1667,277.09,79,100,5.85,RU,1699742869
24,beloyarskiy,63.7119,66.6722,273.15,99,100,2.68,RU,1699742869
25,albany,42.6001,-73.9662,277.24,65,3,4.47,US,1699742727
26,qaqortoq,60.7167,-46.0333,269.96,68,60,3.93,GL,1699742869
27,deyang,31.1302,104.382,284.92,93,100,3.22,CN,1699742870
28,adamstown,-25.066,-130.1015,296.23,81,22,5.42,PN,1699742870
29,punta arenas,-53.15,-70.9167,280.21,61,0,7.72,CL,1699742757
30,usogorsk,63.4106,48.6872,273.52,96,99,1.88,RU,1699742870
31,ribeira grande,38.5167,-28.7,293.02,95,100,8.94,PT,1699742870
32,chernyshevskiy,63.0128,112.4714,262.84,88,100,3.7,RU,1699742870
33,anadyr,64.75,177.4833,265.43,86,20,1.0,RU,1699742871
34,petropavlovsk-kamchatsky,53.0452,158.6483,273.4,98,40,8.0,RU,1699742871
35,peace river,56.2501,-117.286,279.32,65,75,3.09,CA,1699742822
36,chichiriviche,10.9333,-68.2772,300.79,86,93,6.52,VE,1699742871
37,katsuura,35.1333,140.3,286.32,92,100,6.08,JP,1699742840
38,west island,-12.1568,96.8225,299.14,83,75,3.6,CC,1699742871
39,iskateley,67.6803,53.1512,264.27,95,20,3.13,RU,1699742871
40,kasongo-lunda,-6.4667,16.8167,294.15,98,75,0.23,CD,1699742871
41,pandan,14.0453,124.1694,301.07,78,94,2.94,PH,1699742761
42,turinsk,58.0458,63.696,276.26,97,100,1.17,RU,1699742872
43,polyarnyy,69.1989,33.4478,266.49,94,87,3.01,RU,1699742872
44,kapa'a,22.0752,-159.319,301.33,75,40,7.72,US,1699742872
45,paratinga,-12.6906,-43.1842,302.69,27,44,1.8,BR,1699742872
46,ushuaia,-54.8,-68.3,279.96,61,40,5.14,AR,1699742872
